dataset,method,split,mse,mae,r2
liu_wu1,PCA,test,0.04237360112597906,0.10799276151848972,0.9558871023149934
liu_wu1,MFA,test,0.04237360112597906,0.10799276151848972,0.9558871023149934
liu_wu1,NMF,test,0.14307215057577052,0.2243492235507327,0.851055209559393
liu_wu1,AE,test,0.4032839170838697,0.4495674692570872,0.5801626083315718
liu_wu1,PCA,train,0.05748949747393216,0.1345597801116564,0.9425028596787568
liu_wu1,MFA,train,0.05748949747393216,0.1345597801116564,0.9425028596787568
liu_wu1,NMF,train,0.15041025614771295,0.23558011824918285,0.8495697478065349
liu_wu1,AE,train,0.4272921243696544,0.4517022661091609,0.5726510699770127
liu_wu1,PCA,val,0.008501974873729612,0.06137090977043344,0.9786783524837183
liu_wu1,MFA,val,0.008501974873729612,0.06137090977043344,0.9786783524837183
liu_wu1,NMF,val,0.07170744071435592,0.1696106270650645,0.8201687492713721
liu_wu1,AE,val,0.19941880943811247,0.3642511585571559,0.49988824642447316
liu_wu_full,PCA,test,0.023557657914820188,0.0950471257531138,0.9662157462701155
liu_wu_full,MFA,test,0.023557657914820188,0.0950471257531138,0.9662157462701155
liu_wu_full,NMF,test,0.1133632141735156,0.2186083674330396,0.8374247726526373
liu_wu_full,AE,test,0.13912776395055249,0.25237766346198987,0.8004755950199975
liu_wu_full,PCA,train,0.06872623590279643,0.14216898423729413,0.9312687158941844
liu_wu_full,MFA,train,0.06872623590279643,0.14216898423729413,0.9312687158941844
liu_wu_full,NMF,train,0.1694589167333554,0.24790482598945343,0.8305286358656798
liu_wu_full,AE,train,0.3317761427621133,0.30557617106490453,0.6681994870202603
liu_wu_full,PCA,val,0.005811587202180703,0.0530216034891286,0.9749815715820779
liu_wu_full,MFA,val,0.005811587202180703,0.0530216034891286,0.9749815715820779
liu_wu_full,NMF,val,0.049674591247910044,0.15526001269515394,0.7861547694132434
liu_wu_full,AE,val,0.05948130557023619,0.19502053358757876,0.7439376311767105
